Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
97384,1,TNA,DR,24,10,38.0
97385,1,CSMT,TNA,33,17,56.0
97386,1,TNA,CSMT,33,17,58.0
97387,1,CSMT,TNA,33,17,56.0
97388,1,TNA,CSMT,33,17,57.0
97389,1,CSMT,TNA,33,17,56.0
97390,1,TNA,CSMT,33,17,57.0
97391,1,CSMT,TNA,33,17,56.0
97392,1,TNA,CSMT,33,17,57.0
97393,1,CSMT,TNA,33,17,56.0
97394,1,TNA,CSMT,33,17,58.0
97395,1,CSMT,TNA,33,17,56.0
97396,1,TNA,CSMT,33,17,57.0
97397,1,CSMT,TNA,33,17,56.0
97398,1,TNA,CSMT,33,17,58.0
97399,1,CSMT,TNA,33,17,58.0
97400,1,TNA,CSMT,33,17,55.0
97401,1,CSMT,TNA,33,17,57.0
97402,1,TNA,CSMT,33,17,57.0
97403,1,CSMT,TNA,33,17,56.0
97404,1,TNA,CSMT,33,17,59.0
97405,1,CSMT,TNA,33,17,56.0
97406,1,TNA,DR,24,10,38.0
97407,1,CSMT,TNA,33,17,56.0
97408,1,TNA,CSMT,33,17,58.0
97409,1,DR,TNA,24,10,39.0
97410,1,TNA,DR,24,10,40.0
97411,1,CSMT,TNA,33,17,55.0
97412,1,TNA,CSMT,33,17,59.0
97413,1,CSMT,TNA,33,17,57.0
97414,1,TNA,CSMT,33,17,58.0
97415,1,DR,TNA,24,10,38.0
97416,1,TNA,CSMT,33,17,59.0
97417,1,CSMT,TNA,33,17,56.0
97418,1,TNA,CSMT,33,17,57.0
97419,1,CSMT,TNA,33,17,56.0
97420,1,TNA,DR,24,10,39.0
97421,1,CSMT,TNA,33,17,56.0
97422,1,TNA,CSMT,33,17,58.0
97423,1,CSMT,TNA,33,17,55.0
97424,1,TNA,DR,24,10,38.0
97425,1,CSMT,TNA,33,17,55.0
97426,1,TNA,CSMT,33,17,58.0
97427,1,CSMT,TNA,33,17,55.0
97428,1,TNA,CSMT,33,17,58.0
97429,1,DR,TNA,24,10,39.0
97430,1,TNA,DR,24,10,39.0
97431,1,CSMT,TNA,33,17,55.0
97432,1,TNA,CSMT,33,17,58.0
97433,1,CSMT,TNA,33,17,56.0
97434,1,TNA,CSMT,33,17,60.0
97435,1,CSMT,TNA,33,17,55.0
97436,1,TNA,CSMT,33,17,58.0
97437,1,CSMT,TNA,33,17,56.0
97438,1,TNA,CSMT,33,17,58.0
97439,1,CSMT,TNA,33,17,56.0
97440,1,TNA,CSMT,33,17,59.0
97441,1,CSMT,TNA,33,17,55.0
97442,1,TNA,DR,24,10,39.0
97444,1,TNA,CSMT,33,16,59.0
97445,1,CSMT,TNA,33,16,56.0
97446,1,TNA,CSMT,33,16,58.0
97501,1,CSMT,GC,19,12,34.0
97502,1,GC,CSMT,19,12,37.0
97503,1,CSMT,GC,19,12,34.0
97504,1,GC,CSMT,19,12,37.0
97601,1,CSMT,CLA,15,10,28.0
97602,1,CLA,CSMT,15,10,30.0
97603,1,CSMT,CLA,15,10,28.0
97604,1,CLA,CSMT,15,10,30.0
97605,1,CSMT,CLA,15,10,28.0
